column,dtype
Player,object
Nation,object
Pos,object
Rol_Tactico,object
Squad,object
Comp,object
Season,object
Age,float64
Born,object
MP,int64
Starts,int64
Min,float64
90s,float64
Gls_per90,float64
xG_per90,float64
Sh_per90,float64
SoT_per90,float64
G/SoT_per90,float64
xA_per90,float64
xAG_per90,float64
KP_per90,float64
GCA90_per90,float64
SCA_per90,float64
1/3_per90,float64
PPA_per90,float64
PrgP_per90,float64
PrgC_per90,float64
Carries_per90,float64
Cmp%,float64
Cmp_per90,float64
TotDist_per90,float64
Tkl+Int_per90,float64
Int_per90,float64
Recov_per90,float64
Blocks_per90,float64
Clr_per90,float64
Touches_per90,float64
Dis_per90,float64
Err_per90,float64
Save%,float64
PSxG+/-_per90,float64
PSxG_per90,float64
CS%,float64
Saves_per90,float64
Launch%,float64
