Player,Nation,Pos,Rol_Tactico,Squad,Comp,Season,Age,Born,MP,Starts,Min,90s,Gls_per90,xG_per90,Sh_per90,SoT_per90,G/SoT_per90,xA_per90,xAG_per90,KP_per90,GCA90_per90,SCA_per90,1/3_per90,PPA_per90,PrgP_per90,PrgC_per90,Carries_per90,Cmp%,Cmp_per90,TotDist_per90,Tkl+Int_per90,Int_per90,Recov_per90,Blocks_per90,Clr_per90,Touches_per90,Dis_per90,Err_per90,Save%,PSxG+/-_per90,PSxG_per90,CS%,Saves_per90,Launch%
Kieran Trippier,ENG,DF,Defensa,Newcastle Utd,Premier League,2024/25,33.0,1990.0,25,14,1309.0,14.5,0.0,0.7517387160023766,4.221933140479578,0.0,2.2983722303773386,21.772345301757067,16.82963930255498,31.9327731092437,1.9461232069141712,41.252864782276546,41.128457584489894,37.81512605042017,62.56684491978611,19.862490450725744,46.524064171123,82.5,76.64867710072114,73.23205659888312,30.557677616501145,24.0091003372094,31.168831168831176,21.58381417557716,29.946524064171122,66.27196333078686,8.556149732620321,0.0,,90.80206956170947,70.909681611436,,74.62866075743639,
Giangiacomo Magnani,ITA,DF,Defensa,Hellas Verona,Serie A,2024/25,28.0,1995.0,17,11,1065.0,11.8,7.920614034717998,10.163648611941992,14.27033222764447,6.563118308480314,7.739312842829383,1.7840375586854462,0.0,1.7840375586854462,0.0,3.7558685446009386,15.887556291323138,0.0,20.375586854460096,3.7558685446009386,23.568075117370896,80.7,28.82665226401249,32.3254213683672,27.793427230046948,41.80551719905483,21.408450704225352,3.316104783548181,54.83568075117371,31.69014084507042,1.3145539906103287,13.027338456561752,,90.80206956170947,70.909681611436,,74.62866075743639,
Marcos André,BRA,FW,Atacante,Valladolid,La Liga,2024/25,27.0,1996.0,22,14,1188.0,13.2,7.100550460416387,22.364226801070707,25.5856966707767,5.883603534117454,6.938020351526341,4.7979797979797985,10.59643956086795,14.393939393939398,0.4184076994088281,15.993265993265993,8.416101042752098,5.6818181818181825,9.427609427609429,9.259259259259258,16.414141414141415,65.7,11.249862142035273,10.764261619521658,8.754208754208754,6.613617916962775,22.22222222222222,7.431926756058108,6.734006734006734,19.570707070707073,27.104377104377104,0.0,,90.80206956170947,70.909681611436,,74.62866075743639,
Mika Biereth,DEN,FW,Atacante,Monaco,Ligue 1,2024/25,21.0,2003.0,16,16,1228.0,13.6,89.30040823344518,90.54962186883024,45.00415701048671,62.61150731583623,7.38322882359497,49.511400651465806,57.66344248004892,34.03908794788274,1.4673230924300635,30.94462540716612,6.8893515676950905,29.31596091205212,13.680781758957655,11.400651465798045,17.263843648208468,61.8,11.750935877153541,9.106409555187742,5.863192182410423,8.530920831000843,11.237785016286646,21.569533353901544,4.5602605863192185,19.442182410423452,18.241042345276878,0.0,,90.80206956170947,70.909681611436,,74.62866075743639,
Fares Chaïbi,ALG,"MF,FW",Centrocampista,Eint Frankfurt,Bundesliga,2024/25,21.0,2002.0,26,10,1013.0,11.3,8.327200342521884,25.2563430014066,34.09742399363134,20.700062187161507,2.7664414416471077,54.3928923988154,45.047943700767846,45.014807502467924,3.8028427329290033,49.35834155972359,23.536196309702657,39.98025666337611,35.93287265547878,19.743336623889437,28.43040473840079,65.8,29.063552171912402,27.549722006343927,18.163869693978285,25.853827197603735,17.769002961500494,20.917975880427324,25.27147087857848,36.278381046396845,9.674234945705827,13.696066590560973,,90.80206956170947,70.909681611436,,74.62866075743639,
Boulaye Dia,SEN,"MF,FW",Centrocampista,Lazio,Serie A,2024/25,27.0,1996.0,35,27,2177.0,24.2,34.873259312251726,32.09271682432011,24.75125272790801,30.501768252664025,3.5589462962593,13.091410197519522,30.358288259592747,22.691777675700507,0.9418497615769235,25.26412494258153,13.071557098166542,7.234726688102894,16.39871382636656,10.564997703261367,20.762517225539735,83.6,21.97622407854355,19.348698643074307,10.289389067524116,7.218170037070992,15.15847496554892,10.544664843414003,5.879650895728066,23.02480477721635,21.864951768488748,6.373043388258275,,90.80206956170947,70.909681611436,,74.62866075743639,
Justin Kluivert,NED,MF,Centrocampista,Bournemouth,Premier League,2024/25,25.0,1999.0,34,29,2340.0,26.0,43.25873818961368,43.31396404378309,33.65503177463705,34.35119294150113,1.831637372802954,30.042735042735046,32.27838512387468,36.53846153846155,1.2214286301973096,43.16239316239316,14.790426092883866,33.65384615384615,31.410256410256412,34.61538461538461,27.60683760683761,74.4,24.087497469334387,20.49697450369045,12.649572649572649,15.669187064804113,20.0,13.58327536338005,8.205128205128206,29.00641025641026,16.153846153846157,5.929109169332593,,90.80206956170947,70.909681611436,,74.62866075743639,
Carlos Romero,ESP,DF,Defensa,Espanyol,La Liga,2024/25,22.0,2001.0,34,28,2554.0,28.4,6.605680459651267,7.705763345709561,15.688019180280467,8.21032223789922,2.129977680980726,17.854346123727485,12.938526535069188,21.574001566170715,0.3405910755955183,24.275646045418952,14.15340695810813,22.905246671887237,17.54111198120595,19.57713390759593,23.218480814408775,71.4,27.26418702571287,25.39610834071272,32.263116679718095,30.76342241719568,29.365700861393893,23.507469501229373,31.949882537196558,33.42795614722005,7.126076742364918,5.432308322724458,,90.80206956170947,70.909681611436,,74.62866075743639,
Arda Güler,TUR,"MF,FW",Centrocampista,Real Madrid,La Liga,2024/25,19.0,2005.0,28,14,1250.0,13.9,20.2450894727392,25.97828585212373,43.10678175092458,44.73421439060183,2.5056799259944413,66.88000000000001,56.648565892400065,60.800000000000004,3.9268399404917345,63.2,50.45310148804545,55.8,52.080000000000005,27.2,55.68,86.1,59.1151886346378,53.7592533619208,23.680000000000003,14.666359092656648,26.880000000000003,18.364588291289827,5.120000000000001,52.9,10.080000000000002,0.0,,90.80206956170947,70.909681611436,,74.62866075743639,
José Sá,POR,GK,Portero,Wolves,Premier League,2024/25,31.0,1993.0,29,29,2609.0,29.0,0.0,0.0,0.0,0.0,2.2983722303773386,0.0,1.206263913214941,2.184745113070142,0.0,1.9164430816404752,6.485338233138805,0.862399386738214,0.5366040628593333,0.0,24.14718282866999,64.1,21.975166911207133,31.874124467761852,0.6132617861249522,0.0,8.50900728248371,0.6768209265003475,4.599463395937141,23.596205442698352,0.0,5.317790515997803,63.2,87.15157964789601,76.5555129679315,24.1,63.70095678448064,39.3
